                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00439,                 0.0027,                0.00507,                0.00278,                    nan,                    nan,                    nan,             0.00040833,             0.00040833,             0.00040833
                      2,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00611,                0.00335,                    nan,                    nan,                    nan,             0.00080866,             0.00080866,             0.00080866
                      3,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,              0.0011925,              0.0011925,              0.0011925
                      4,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,              0.0011757,              0.0011757,              0.0011757
                      5,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,              0.0011757,              0.0011757,              0.0011757
                      6,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,               0.001151,               0.001151,               0.001151
                      7,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00527,                0.00292,                    nan,                    nan,                    nan,              0.0011263,              0.0011263,              0.0011263
                      8,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00527,                0.00292,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                      9,                    nan,                    nan,                    nan,                  0.005,                 0.0027,                0.00537,                0.00298,                    nan,                    nan,                    nan,              0.0010768,              0.0010768,              0.0010768
                     10,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                     11,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,              0.0010273,              0.0010273,              0.0010273
                     12,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                     13,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,             0.00097775,             0.00097775,             0.00097775
                     14,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,               0.000953,               0.000953,               0.000953
                     15,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,             0.00092825,             0.00092825,             0.00092825
                     16,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,              0.0009035,              0.0009035,              0.0009035
                     17,                    nan,                    nan,                    nan,                0.00472,                 0.0027,                0.00523,                0.00289,                    nan,                    nan,                    nan,             0.00087875,             0.00087875,             0.00087875
                     18,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00527,                0.00292,                    nan,                    nan,                    nan,               0.000854,               0.000854,               0.000854
                     19,                    nan,                    nan,                    nan,                  0.005,                 0.0027,                0.00537,                0.00298,                    nan,                    nan,                    nan,             0.00082925,             0.00082925,             0.00082925
                     20,                    nan,                    nan,                    nan,                0.00472,                 0.0027,                0.00523,                0.00289,                    nan,                    nan,                    nan,              0.0008045,              0.0008045,              0.0008045
                     21,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,             0.00077975,             0.00077975,             0.00077975
                     22,                    nan,                    nan,                    nan,                0.00472,                 0.0027,                0.00523,                0.00289,                    nan,                    nan,                    nan,               0.000755,               0.000755,               0.000755
                     23,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,             0.00073025,             0.00073025,             0.00073025
                     24,                    nan,                    nan,                    nan,                0.00485,                 0.0027,                 0.0053,                0.00293,                    nan,                    nan,                    nan,              0.0007055,              0.0007055,              0.0007055
                     25,                    nan,                    nan,                    nan,                0.00472,                 0.0027,                0.00523,                0.00289,                    nan,                    nan,                    nan,             0.00068075,             0.00068075,             0.00068075
                     26,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00527,                0.00292,                    nan,                    nan,                    nan,               0.000656,               0.000656,               0.000656
                     27,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,             0.00063125,             0.00063125,             0.00063125
                     28,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,              0.0006065,              0.0006065,              0.0006065
                     29,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,             0.00058175,             0.00058175,             0.00058175
                     30,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,               0.000557,               0.000557,               0.000557
                     31,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,             0.00053225,             0.00053225,             0.00053225
                     32,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00527,                0.00292,                    nan,                    nan,                    nan,              0.0005075,              0.0005075,              0.0005075
                     33,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,             0.00048275,             0.00048275,             0.00048275
                     34,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,               0.000458,               0.000458,               0.000458
                     35,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,             0.00043325,             0.00043325,             0.00043325
                     36,                    nan,                    nan,                    nan,                 0.0049,                 0.0027,                0.00532,                0.00295,                    nan,                    nan,                    nan,              0.0004085,              0.0004085,              0.0004085
                     37,                    nan,                    nan,                    nan,                 0.0049,                 0.0027,                0.00532,                0.00295,                    nan,                    nan,                    nan,             0.00038375,             0.00038375,             0.00038375
                     38,                    nan,                    nan,                    nan,                0.00495,                 0.0027,                0.00534,                0.00296,                    nan,                    nan,                    nan,               0.000359,               0.000359,               0.000359
                     39,                    nan,                    nan,                    nan,                0.00481,                 0.0027,                0.00527,                0.00292,                    nan,                    nan,                    nan,             0.00033425,             0.00033425,             0.00033425
                     40,                    nan,                    nan,                    nan,                0.00476,                 0.0027,                0.00525,                 0.0029,                    nan,                    nan,                    nan,              0.0003095,              0.0003095,              0.0003095
                     41,                    nan,                    nan,                    nan,                0.00455,                 0.0027,                0.00598,                0.00251,                    nan,                    nan,                    nan,             0.00028475,             0.00028475,             0.00028475
                     42,                    nan,                    nan,                    nan,                 0.0045,                 0.0027,                0.00417,                0.00232,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                     43,                    nan,                    nan,                    nan,                0.00455,                 0.0027,                0.00369,                0.00214,                    nan,                    nan,                    nan,             0.00023525,             0.00023525,             0.00023525
                     44,                    nan,                    nan,                    nan,                0.00455,                 0.0027,                0.00369,                0.00214,                    nan,                    nan,                    nan,              0.0002105,              0.0002105,              0.0002105
                     45,                    nan,                    nan,                    nan,                0.00459,                 0.0027,                0.00433,                0.00241,                    nan,                    nan,                    nan,             0.00018575,             0.00018575,             0.00018575
                     46,                    nan,                    nan,                    nan,                0.00455,                 0.0027,                0.00431,                0.00239,                    nan,                    nan,                    nan,               0.000161,               0.000161,               0.000161
                     47,                    nan,                    nan,                    nan,                0.00459,                 0.0027,                0.00371,                0.00216,                    nan,                    nan,                    nan,             0.00013625,             0.00013625,             0.00013625
                     48,                    nan,                    nan,                    nan,                0.00455,                 0.0027,                0.00369,                0.00214,                    nan,                    nan,                    nan,              0.0001115,              0.0001115,              0.0001115
                     49,                    nan,                    nan,                    nan,                0.00455,                 0.0027,                0.00369,                0.00214,                    nan,                    nan,                    nan,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                    nan,                    nan,                    nan,                 0.0045,                 0.0027,                0.00367,                0.00213,                    nan,                    nan,                    nan,                6.2e-05,                6.2e-05,                6.2e-05
